customer_id,trans_date,tran_amount,response
CS5295,2013-02-11,35,1
CS4768,2015-03-15,39,1
CS2122,2013-02-26,52,0
CS1217,2011-11-16,99,0
CS1850,2013-11-20,78,0
CS5539,2014-03-26,81,0
CS2724,2012-02-06,93,0
CS5902,2015-01-30,89,0
CS6040,2013-01-08,76,0
CS3802,2013-08-20,75,1
CS3494,2013-07-02,94,0
CS3780,2013-03-25,80,0
CS1171,2012-11-03,59,0
CS2892,2013-05-12,43,0
CS5552,2014-12-29,78,0
CS6043,2014-01-15,98,0
CS4147,2013-07-08,81,0
CS4655,2013-12-30,93,0
CS3904,2014-07-20,103,0
CS4102,2011-07-09,96,0
CS2086,2013-03-05,75,0
CS6085,2013-01-09,49,0
CS1328,2013-02-06,54,0
CS4564,2012-03-27,48,0
CS5910,2012-01-01,98,0
CS2748,2013-03-23,37,1
CS5147,2013-04-29,72,0
CS1770,2012-11-02,83,0
CS3510,2011-10-24,81,0
CS2509,2011-12-05,105,0
CS2859,2015-02-27,77,0
CS1512,2015-02-21,71,0
CS4148,2013-08-22,48,0
CS1735,2012-03-31,70,0
CS1588,2012-01-27,70,0
CS5514,2013-01-09,36,1
CS5933,2013-10-07,48,0
CS2797,2014-03-06,87,1
CS5313,2012-12-02,88,0
CS5966,2012-03-09,39,0
CS5211,2014-05-18,51,0
CS1511,2015-01-13,47,0
CS6087,2014-11-24,37,0
CS5909,2012-02-04,80,0
CS2845,2013-03-08,105,0
CS1433,2012-11-05,78,0
CS4897,2014-04-12,45,1
CS2296,2012-12-28,79,0
CS1494,2013-06-29,59,0
CS3688,2014-06-19,55,0
CS2287,2011-12-23,94,0
CS3779,2011-06-26,69,0
CS1423,2014-06-05,78,0
CS2501,2012-11-14,59,1
CS3434,2013-02-22,98,0
CS2662,2014-08-31,88,0
CS2209,2012-03-12,35,0
CS4530,2011-06-05,40,0
CS2848,2013-02-04,53,0
CS2596,2011-09-19,55,0
CS4421,2012-05-20,86,0
CS4905,2012-04-13,93,0
CS5704,2011-12-04,79,0
CS2403,2014-07-27,94,1
CS5480,2012-01-28,63,1
CS5811,2013-08-23,91,1
CS2051,2014-12-09,101,0
